cancer_project	cancer_type_abbr	driver_gene
Kidney_renal_clear_cell_carcinoma(TCGA,US)	KIRC	HLA-DRB5, SIRPB1, SLC23A1
Kidney_renal_papillary_cell_carcinoma(TCGA,US)	KIRP	ARL17B, MYH3, GPS2, LHFPL3, CD200, CHL1, MYO15A, RASA4, SYCE1L, HLA-DRB5, HHLA2, RNF222, HOXA3, TES, SUN1, COBL, MACC1, ABHD11, ISPD, PCLO, RUNDC3B, CREB5, TPK1, ZNF862, IQUB, CFAP69, MET, CDHR3, ZNF789, EPHA1, FBXO24, DMTF1, ITGB8, WEE2, ACHE, GPC2, CLDN3, MUC12, HOXA2, TAS2R4, PROCA1, AHR, MLXIPL, KCP, AGBL3, PDGFA, NPIPB9, C7orf71, ZPBP, DRC7, TRIM73, FOXP2, SOSTDC1, PCED1A, TAS2R5, CYP3A5, CORO6, ZNF334, SPEF1, LRRN4, CCDC191, NYAP1, L3MBTL1, HOXC11, ZNF133, OCM, KCNH2, EFCAB12, METTL27, TRIM74, ZNF337, LFNG, AGR3, MYH7B, MARCH10, RELN, EBF4, PABPC1L, WNT2, MOGAT3, B4GALNT2, PVRIG, TMEM74B, ID1, TSPAN19, NNAT, SLC13A4, GDAP1L1, COL28A1, RADIL
Acute_myeloid_leukemia(TCGA,US)	LAML	GSTM1, RHD, HLA-DRB5
Brain_lower_grade_glioma(TCGA,US)	LGG	SIRPB1, TTYH3, CDCA7L, LFNG, MICALL2, PDGFA, TTC26, ITGB8, GSAP, FAM221A, FKBP9, MEOX2, LRRC17, LAMB4, MDFIC, SAMD9L, LRGUK, ELN, AQP1, IQUB, GLI3, MEST, DPY19L1, UPP1, EGFR, CDK6, XRCC2, NFE2L3, AEBP1, SUN3, MACC1, HOXA1, HOXA7, SFRP4, CREB5, DNAH11, TWIST1, IGF2BP3, SEC61G, HOXA5, HOXA6, PSPH, HOXA3, SP8, EN2
Liver_hepatocellular_carcinoma(TCGA,US)	LIHC	POLR2K, MTERF3, ATP6V1C1, NSMCE2, SCRIB, C8orf33, FAM83H, ENY2, MRPL13, HGH1, DCAF13, PABPC1, SHARPIN, PUF60, NDUFAF6, TIGD5, C8orf76, ZFP41, ELOC, EIF3E, C8orf59, CYHR1, RPL30, COMMD5, WDYHV1, EEF1D, RRS1, GPAA1, ADCK5, FBXL6, VPS28, COX6C, GLI4, NDUFB9, TOP1MT, PYCR3, CHCHD7, C8orf82, EPHX1, RPL7, SQLE, LYNX1, ZHX1-C8orf76, BOP1, CFHR2, SUSD4, MFSD3, PPP1R16A, RPL8, LAPTM4B, GGH, RPS20, CEBPD, MROH6, EXOSC4, LRRC69, C8orf44-SGK3, ZDHHC11, RGS14, NDUFA2, UQCRQ, TK1, GSTM1, LY6E, RECQL4, ANAPC11, PTP4A3, ATOX1, SIRPB1, NDRG1, SLC39A4, CYP51A1, C4BPB, LRRC45, NHLRC1, SHISA4, SLC29A1, TDRD10, ERO1B, RAB37, OXLD1, E2F1, DCST1, RPS21
Lung_adenocarcinoma(TCGA,US)	LUAD	HLA-DRB5, SRP54, FOXA1, PPP2R3C, BAZ1A, BRMS1L, MARC1, PSMA6, KIAA0391, GEMIN2, FAM177A1, EGFR, SPTSSA, RALGAPA1, PAX9, TSNARE1, MIPOL1, SLC25A21, COCH, EXOC3-AS1, LAPTM4B, E2F5, MTFR1, C2CD4D, CHMP4C, PSPH, ZBTB10, MEX3A, KHDRBS3, EPHX1, MRPS28, SLC26A9, STK31, BTNL10, CCT6A, TPD52, TCF24, RHBG
Lung_squamous_cell_carcinoma(TCGA,US)	LUSC	TP63, NSD3, PLPP5, EIF4EBP1, ARL17B, PAK4, TM2D2, PSMD8, LSM1, FAM98C, NUDT19, SAMD4B, IGSF11, NFKBIB, PLPBP, WDR62, BAG4, CEBPG, SIPA1L3, ECH1, ANKRD27, SPINT2, MRPS12, EIF3K, OR2A7, DYRK1B, ADAM9, SARS2, EID2, PDCD5, PAF1, ZNF302, SUPT5H, DDHD2, WDR88, HKR1, MED29, TIMM50, BRF2, ALKBH6, URI1, GSTM1, FGF12, TACC1, CTAGE4, ZNF607, VDAC3, FBXO27, LETM2, GINS4, ZNF829, GOLGA7, FAAP24, SMIM19, PSMC4, ADAM32, RPS16, KAT6A, SERTAD3, FBL, BLVRB, UQCRFS1, CAPN12, LRFN1, RAB11FIP1, LY6K, AKT2, CCT6A, RYR1, FGFR1, ZNF573, PLD3, ASH2L, ZNF780B, HLA-DRB5, POP4, EGFR, CEBPA, SEC61G, ZNF793, MAP3K10, SYNE4, CHCHD2, EID2B, LANCL2, ZNF780A, ZNF850, POMK, SUMF2, ZNF546, CCNE1, RGS9BP, NIPSNAP2, PRAME, ZNF280B, TAS2R43, CLTCL1, ZNF334, FBXO17, CCER2, RHPN2, POLB, TTC9B, CD200R1L, C19orf47, GAPDHS, PSPH, ERLIN2, SLC45A2, STEAP1B, ACP7, VOPP1, GGN, VPS37D, STXBP5L, SPTBN4, SHANK2, GGH, STAR, ZNF280A, FEZF1, ADGRG7, ZNF639, SENP2, TBCCD1, LSG1, ACAP2, ACTL6A, RFC4, TBL1XR1, PIK3CA, FXR1, XXYLT1, PRKCI, RNF168, DVL3, MAGEF1, PIGX, ALG3, ABCC5, BDH1, DNAJC19, EIF2B5, ECT2, MAP3K13, CLCN2, SOX2, FAM131A, PARL, YEATS2, TFRC, ECE2, KLHL24, PFN2, DCUN1D1, EPHB3, MYNN, KCNMB3, IGF2BP2, ATP11B, NMNAT3, RPL39L, PLD1, CEP19, CDCA3, TMEM44, RAD51AP1, FOXM1, B3GNT5, PPFIA1, DGKG, FADD, NUF2, NCAPD2, FETUB, MCCC1, CPNE1, HRASLS, CTTN, FAM43A, TPRG1, MAP6D1, RIT1, ATP6V1E2, CREG1, SMCO1, ABHD1, LDHB, IGHMBP2, TAS2R19, TAS2R31, MRPL21, MARC1, ASNS, FOXL2NB, FOXL2, CYP51A1, LENEP, TSTD1, CCND1, KRAS, ADD2, TFR2, VWA5B2, GRK7, DNMT3B, KLHDC9, NLGN1, DUSP15, ADCY10, ANO1, AADACL2, C2CD5, MCF2L2
Mesothelioma(TCGA,US)	MESO	TBL1Y
Ovarian_serous_cystadenocarcinoma(TCGA,US)	OV	MAL2, FAM83H, PYCR3, GPAA1, THEM6, DGAT1, FBXL6, PARP10, KIFC2, NRBP2, OPLAH, MFSD3, ZNF439, SQLE, NAPRT, DCAF15, ZNF763, MROH6, CCDC130, SLC39A4, DDX39A, ZNF333, DYRK1B, ZNF440, ZNF607, MRI1, GSTM1, C19orf57, SARS2, PLEKHG6, TMEM249, SUPT5H, PAK4, STX10, TIMM50, ZNF136, URI1, ZNF564, RYR1, ZNF709, CACNA1A, PAF1, GAB2, C19orf12, ZNF850, SPINT2, PLEKHG2, ZNF20, EID2B, ZNF780A, FBXO17, SAMD4B, TRMT1, ZNF44, RETREG1, ZNF443, MAP4K1, MED21, PALM3, ZNF625, CCNE1, RGS9BP, ZNF780B, FBXW9, GSDMC, ETFRF1, MAPK15, CAPN12, FBL, ALG8, ANKLE1, ZNF563, ZGLP1, ZNF559-ZNF177, SLC7A9, BMP7, SC5D, AKT2, MED29, EXOC3-AS1, HLA-DRB5, CAPN5, PSMC4, POP4, TECR, AKIRIN1, FBXO27, COQ8B, WDR13, NDUFC2, APEX1, TNFRSF11B, TMEM45B, FKBP1B, ZNF878, MYT1, PSCA, CCND1, ZNF799, LGSN, FAM83A, RPS28, SLCO1A2, EPOR, INTS4, TMEM241, ZNF219, UQCRFS1, PLEKHF1, SIVA1, SHKBP1, VSIG2, MACC1, RGL3, TMPRSS4, KCNG1, GJC2, SNX31, PRAF2, SAXO1, MAP3K10, KCNQ4, C2CD5, CDK16, RNF103-CHMP3, MYCN, TCF7L1, SALL2, KCNIP3, CASC1, LYNX1, FAM84A, TTC39C, DSC2, USP35, AAMDC, SLBP, FBN3, METTL17, PLP2, TAF4B, DLL3, WDR45, RNF212, GDF15, CCDC151, PABPC4, EBP, KRAS, TTC5, RIMKLA, FXYD7, EPHA10, GPKOW, SLC35A2, PRICKLE3, C19orf47, PAK1, PIM2, CCDC120, OXCT2, ARHGEF40, PRX, LRRTM1, SH3GL2, NDRG2, FTSJ1, SLC7A10, CCNB3, TCP11, HOXC4, PLD3, OTUD5, BEST2, PKHD1L1, LGALS7B, MMP7, ICAM5, TTC9B, OMP, GPR160, DUSP15
Pancreatic_adenocarcinoma(TCGA,US)	PAAD	HLA-DRB5, SIRPB1
